dropped_attributes,k,f1
"('cp_2.0', 'restecg_1.0')",7,0.7782101167315175
"('cp_2.0', 'restecg_1.0')",9,0.7812499999999999
"('cp_2.0', 'restecg_2.0')",3,0.7732342007434945
"('cp_2.0', 'restecg_2.0')",5,0.7906976744186046
"('cp_2.0', 'restecg_2.0')",7,0.776470588235294
"('cp_2.0', 'restecg_2.0')",9,0.7782101167315175
"('cp_2.0', 'thalach')",3,0.8014440433212997
"('cp_2.0', 'thalach')",5,0.7954545454545454
"('cp_2.0', 'thalach')",7,0.7954545454545454
"('cp_2.0', 'thalach')",9,0.7846153846153846
"('cp_2.0', 'exang')",3,0.7608695652173912
"('cp_2.0', 'exang')",5,0.7751937984496123
"('cp_2.0', 'exang')",7,0.7538461538461537
"('cp_2.0', 'exang')",9,0.7739463601532568
"('cp_2.0', 'oldpeak')",3,0.770909090909091
"('cp_2.0', 'oldpeak')",5,0.7686567164179104
"('cp_2.0', 'oldpeak')",7,0.7761194029850746
"('cp_2.0', 'oldpeak')",9,0.7761194029850746
"('cp_2.0', 'slope')",3,0.756554307116105
"('cp_2.0', 'slope')",5,0.7812499999999999
"('cp_2.0', 'slope')",7,0.7812499999999999
"('cp_2.0', 'slope')",9,0.765625
"('cp_3.0', 'cp_4.0')",3,0.7725631768953068
"('cp_3.0', 'cp_4.0')",5,0.7773584905660376
"('cp_3.0', 'cp_4.0')",7,0.7662835249042146
"('cp_3.0', 'cp_4.0')",9,0.7692307692307693
"('cp_3.0', 'trestbps')",3,0.7703703703703705
"('cp_3.0', 'trestbps')",5,0.8
"('cp_3.0', 'trestbps')",7,0.7953667953667953
"('cp_3.0', 'trestbps')",9,0.790874524714829
"('cp_3.0', 'chol')",3,0.7697841726618704
"('cp_3.0', 'chol')",5,0.788104089219331
"('cp_3.0', 'chol')",7,0.7769230769230769
"('cp_3.0', 'chol')",9,0.7769230769230769
"('cp_3.0', 'fbs')",3,0.7741935483870969
"('cp_3.0', 'fbs')",5,0.7970479704797049
"('cp_3.0', 'fbs')",7,0.8106060606060607
"('cp_3.0', 'fbs')",9,0.7812499999999999
"('cp_3.0', 'restecg_0.0')",3,0.7781818181818181
"('cp_3.0', 'restecg_0.0')",5,0.8106060606060607
"('cp_3.0', 'restecg_0.0')",7,0.7686274509803922
"('cp_3.0', 'restecg_0.0')",9,0.7716535433070866
"('cp_3.0', 'restecg_1.0')",3,0.7741935483870969
"('cp_3.0', 'restecg_1.0')",5,0.8045112781954887
"('cp_3.0', 'restecg_1.0')",7,0.7938931297709925
"('cp_3.0', 'restecg_1.0')",9,0.7906976744186046
"('cp_3.0', 'restecg_2.0')",3,0.7781818181818181
"('cp_3.0', 'restecg_2.0')",5,0.8106060606060607
"('cp_3.0', 'restecg_2.0')",7,0.7686274509803922
"('cp_3.0', 'restecg_2.0')",9,0.7716535433070866
"('cp_3.0', 'thalach')",3,0.7928571428571429
"('cp_3.0', 'thalach')",5,0.8
"('cp_3.0', 'thalach')",7,0.8045112781954887
"('cp_3.0', 'thalach')",9,0.7722007722007722
"('cp_3.0', 'exang')",3,0.7765567765567766
"('cp_3.0', 'exang')",5,0.7756653992395438
"('cp_3.0', 'exang')",7,0.7739463601532568
"('cp_3.0', 'exang')",9,0.7924528301886793
"('cp_3.0', 'oldpeak')",3,0.7725631768953068
